imo,source,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified
9460564,self_reported,KALAMAS,LBR,636014807,SEVERAL_FIELDS,2012-01-01T00:22:10Z,2020-12-25T21:52:29Z,True
9419450,self_reported,JEWEL,PAN,374957000,NO_MATCH,2025-04-09T08:15:57Z,2025-04-09T09:31:14Z,False
9419450,self_reported,MORGANIT,RUS,273121430,NO_MATCH,2026-08-26T10:05:13Z,2026-09-08T23:59:51Z,False
9419450,registry,ADVANTAGEAVENUE,MHL,538006203,REGISTRY,2015-04-04T17:29:41Z,2022-05-11T11:04:50Z,True
9419450,self_reported,AMAX AVENUE,MHL,538006203,SEVERAL_FIELDS,2015-04-04T17:29:32Z,2025-04-09T08:13:12Z,True
9419450,self_reported,TRUE,MLT,248412000,SEVERAL_FIELDS,2012-01-03T17:06:00Z,2015-04-04T17:14:37Z,True
9419450,self_reported,JEWEL,PAN,374987000,NO_MATCH,2025-04-09T09:33:12Z,2026-08-25T20:37:29Z,False
9299707,self_reported,GUANYIN,CMR,613442815,NO_MATCH,2026-06-03T05:02:25Z,2026-07-05T19:17:34Z,False
9299707,registry,GUANYIN,LBR,632001154,REGISTRY,2025-10-10T03:41:04Z,2025-10-10T19:51:35Z,False
9299707,self_reported,GUANYIN,GIN,632001154,SEVERAL_FIELDS,2025-10-08T10:37:21Z,2026-03-08T12:02:31Z,True
9299707,self_reported,GUANYIN,MDG,647553008,NO_MATCH,2026-03-08T12:43:31Z,2026-06-03T05:03:18Z,False
9299707,registry,GUANYIN,LBR,636012383,REGISTRY,2022-05-14T08:03:04Z,2025-10-07T03:54:17Z,False
9299707,self_reported,GUANYIN,LBR,636012383,SEVERAL_FIELDS,2012-01-01T00:06:47Z,2025-10-08T09:35:47Z,True
9299707,registry,NSCONCEPT,LBR,636012383,REGISTRY,2012-01-01T00:03:10Z,2022-05-28T15:46:05Z,True
9299707,self_reported,GUANYIN,LBR,636012383,SEVERAL_FIELDS,2012-01-01T00:06:47Z,2025-10-08T09:35:47Z,True
9296377,self_reported,MARJORIE,SLE,667001954,NO_MATCH,2026-05-25T11:16:29Z,2026-09-08T08:27:41Z,False
9296377,registry,TOKYOSPIRIT,BHS,311000453,REGISTRY,2015-10-06T21:07:39Z,2025-04-10T11:55:16Z,True
9296377,self_reported,TOKYO SPIRIT,BHS,311000453,SEVERAL_FIELDS,2015-10-06T20:49:52Z,2025-04-25T07:07:50Z,True
9296377,self_reported,PRINCIMAR LOYALTY,LBR,636012622,SEVERAL_FIELDS,2012-01-01T00:26:41Z,2015-10-06T08:15:46Z,True
9296377,self_reported,MARJORIE,VUT,577678000,NO_MATCH,2025-10-13T12:12:54Z,2026-05-25T11:16:20Z,False
9296377,self_reported,CHIOS,MHL,538011642,NO_MATCH,2025-04-10T12:00:35Z,2025-04-15T08:53:47Z,False
9296377,self_reported,MARJORIE,BRB,314001095,NO_MATCH,2025-04-15T08:56:30Z,2025-11-02T11:08:19Z,False
9224453,self_reported,TRACOS,SMR,268263502,NO_MATCH,2026-07-11T18:36:29Z,2026-09-08T23:59:43Z,False
9224453,registry,MARS A,PLW,511100876,REGISTRY,2022-12-13T13:20:21Z,2024-06-04T03:23:44Z,False
9224453,self_reported,TRACOS,PAN,352004128,SEVERAL_FIELDS,2024-06-26T01:03:53Z,2026-07-11T18:32:22Z,True
9224453,self_reported,MARS A,PLW,511100876,SEVERAL_FIELDS,2022-12-13T13:21:21Z,2024-06-04T04:34:20Z,True
9224453,self_reported,LIN,CYP,210105000,SEVERAL_FIELDS,2020-11-21T11:06:11Z,2022-12-13T13:18:27Z,True
9224453,self_reported,SCF KHIBINY,LBR,636011492,SEVERAL_FIELDS,2012-01-01T00:11:30Z,2020-11-21T11:00:11Z,True
9408542,registry,SUVRETTA,MHL,352005116,REGISTRY,2025-01-18T16:29:39Z,2025-01-23T05:40:56Z,True
9408542,self_reported,LING HONG,PAN,352005116,SEVERAL_FIELDS,2025-01-17T05:18:27Z,2026-06-18T04:38:06Z,True
9408542,self_reported,SUVRETTA,GRC,240778000,SEVERAL_FIELDS,2012-01-10T08:40:09Z,2025-01-17T04:51:33Z,True
9408542,self_reported,TONG TU,SLE,667001512,NO_MATCH,2026-06-18T04:53:14Z,2026-09-08T20:12:38Z,False
9408190,registry,GLORYCROWN,MHL,538005144,REGISTRY,2013-05-29T03:09:32Z,2023-03-10T11:06:04Z,True
9408190,self_reported,GLORYCROWN,MHL,538005144,SEVERAL_FIELDS,2013-05-26T11:35:23Z,2023-04-06T13:33:17Z,True
9408190,self_reported,GLORY CROWN,HKG,477744800,SEVERAL_FIELDS,2012-01-09T02:59:21Z,2013-05-26T11:43:36Z,True
9408190,self_reported,SAMOS,LBR,636022763,NO_MATCH,2023-03-10T11:31:35Z,2025-08-16T09:58:12Z,False
9408190,self_reported,SAMOS,CMR,613271810,NO_MATCH,2025-11-17T13:11:52Z,2026-09-01T05:30:22Z,False
9408190,self_reported,SAMOS,BRB,314001145,NO_MATCH,2025-08-16T10:06:02Z,2025-11-17T08:25:56Z,False
9439539,registry,SEABAY,HKG,477170700,REGISTRY,2012-01-04T09:23:13Z,2023-08-17T10:42:43Z,True
9439539,self_reported,SEA BAY,HKG,477170700,SEVERAL_FIELDS,2012-01-03T17:03:57Z,2023-09-08T23:25:30Z,True
9439539,self_reported,BOLU,BRB,314001144,NO_MATCH,2025-08-18T07:25:30Z,2025-11-13T12:57:12Z,False
9439539,self_reported,BOLU,LBR,636022767,NO_MATCH,2023-08-17T10:47:47Z,2025-08-20T17:25:25Z,False
9439539,self_reported,BOLU,CMR,613271610,NO_MATCH,2025-11-13T12:57:44Z,2026-09-08T23:20:19Z,False
9436020,self_reported,CENTURION I,PAN,352005238,NO_MATCH,2025-02-19T09:28:52Z,2026-09-08T23:27:34Z,False
9436020,registry,CRUDECENTURION,MHL,538003868,REGISTRY,2017-02-09T11:47:02Z,2025-02-19T09:13:50Z,True
9436020,self_reported,CRUDE CENTURION,MHL,538003868,SEVERAL_FIELDS,2012-03-11T04:14:50Z,2025-03-07T22:19:55Z,True
9213296,self_reported,TELESTO,GIN,632001104,NO_MATCH,2024-10-02T12:46:42Z,2025-01-09T03:24:35Z,False
9213296,registry,SEAWAYSSHIRLEY,MHL,538004852,REGISTRY,2017-10-02T21:34:28Z,2018-11-01T14:10:29Z,True
9213296,self_reported,OVERSEAS SHIRLEY,MHL,538004852,SEVERAL_FIELDS,2012-10-23T05:49:54Z,2019-04-13T06:06:08Z,True
9213296,self_reported,OVERSEAS SHIRLEY,CAN,316193000,SEVERAL_FIELDS,2012-01-02T16:53:24Z,2012-10-09T14:54:10Z,True
9213296,self_reported,SHIRLEY,LBR,636019026,NO_MATCH,2018-12-01T07:58:07Z,2019-06-12T23:58:13Z,False
9213296,self_reported,TELESTO,BRB,314001023,NO_MATCH,2025-01-09T03:28:03Z,2025-11-22T10:48:56Z,False
9213296,self_reported,US SHIRLEY,COM,620321000,NO_MATCH,2018-11-02T02:54:00Z,2018-12-01T07:41:09Z,False
9213296,self_reported,TELESTO,PLW,511101917,NO_MATCH,2025-11-22T20:29:06Z,2026-09-08T19:47:29Z,False
9213296,registry,BRIGHTSONIA,PAN,351660000,REGISTRY,2019-05-18T08:39:13Z,2024-10-02T11:38:42Z,False
9213296,self_reported,BRIGHT SONIA,PAN,351660000,SEVERAL_FIELDS,2019-05-18T08:18:21Z,2024-10-02T12:45:54Z,True
9297541,registry,BONITA,GRC,240609000,REGISTRY,2012-01-01T00:08:38Z,2022-07-04T04:35:18Z,True
9297541,self_reported,BONITA,GRC,240609000,SEVERAL_FIELDS,2012-01-01T00:01:44Z,2022-07-04T10:36:28.82Z,True
9297541,self_reported,BONITA,MHL,538009978,NO_MATCH,2022-07-04T10:51:22.41Z,2025-03-04T14:20:45Z,False
9297541,self_reported,DOVE,PAN,352005301,NO_MATCH,2025-03-04T14:23:41Z,2026-09-08T23:59:41Z,False
9412452,registry,UNITEDFORTITUDE,GRC,240952000,REGISTRY,2012-01-14T08:51:00Z,2018-10-05T10:32:07Z,True
9412452,self_reported,UNITED FORTITUDE,GRC,240952000,SEVERAL_FIELDS,2012-01-13T00:33:16Z,2018-10-05T11:02:47Z,True
9412452,self_reported,NILANGA,SLE,667001290,NO_MATCH,2025-12-05T16:34:25Z,2026-05-20T14:26:44Z,False
9412452,self_reported,TSOIZIT,RUS,273127920,NO_MATCH,2026-08-10T09:39:48Z,2026-09-08T23:59:56Z,False
9412452,self_reported,ELLI,MHL,538008046,NO_MATCH,2018-10-05T11:40:12Z,2025-01-05T01:02:55Z,False
9412452,self_reported,NILANGA,GNQ,631010070,NO_MATCH,2026-05-20T14:25:10Z,2026-08-11T18:42:34Z,False
9412452,self_reported,NILANGA,PAN,352004926,NO_MATCH,2024-12-07T07:16:52Z,2025-12-13T10:43:12Z,False
9384564,registry,REDSUN,LBR,636017066,REGISTRY,2015-10-13T14:00:52Z,2025-03-26T15:41:01Z,True
9384564,self_reported,RED SUN,LBR,636017066,SEVERAL_FIELDS,2015-10-13T13:39:11Z,2025-03-26T15:42:11Z,True
9384564,self_reported,RED SUN,LBR,636092522,SEVERAL_FIELDS,2013-08-22T06:09:38Z,2015-11-10T13:07:57Z,True
9384564,self_reported,SEARUN,HKG,477140500,NO_MATCH,2025-03-26T15:45:21Z,2025-11-10T03:46:15Z,False
