imo,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified,days_since_last_update
9439383,PS GENOVA,MLT,229903000,NO_MATCH,2022-03-21 13:41:21+00:00,2024-12-02T02:22:09Z,False,1397.0
9439383,BHILVA,PAN,352004905,NO_MATCH,2024-12-02 02:26:09+00:00,2026-05-23T00:48:45Z,False,986.0
9439383,ONIKS,RUS,273121120,NO_MATCH,2026-07-22 07:03:07+00:00,2026-08-15T23:54:38Z,False,597.0
9439539,SEABAY,HKG,477170700,REGISTRY,2012-01-04 09:23:13+00:00,2023-08-17T10:42:43Z,True,
9439539,BOLU,LBR,636022767,NO_MATCH,2023-08-17 10:47:47+00:00,2025-08-20T17:25:25Z,False,4243.0
9439539,BOLU,BRB,314001144,NO_MATCH,2025-08-18 07:25:30+00:00,2025-11-13T12:57:12Z,False,731.0
9439539,BOLU,CMR,613271610,NO_MATCH,2025-11-13 12:57:44+00:00,2026-08-15T23:57:56Z,False,87.0
9460564,KALAMAS,LBR,538009165,REGISTRY,2020-12-20 20:06:17+00:00,2020-12-22T15:04:18Z,True,
9460564,BALU 6,PAN,352005437,NO_MATCH,2025-04-02 10:50:53+00:00,2026-08-15T23:59:54Z,False,1563.0
9472634,ADVANTAGEANTHEM,MHL,538006199,REGISTRY,2015-05-13 01:41:27+00:00,2022-04-27T11:55:18Z,True,
9472634,AURA 1,PAN,352005472,NO_MATCH,2025-04-08 11:25:29+00:00,2026-08-15T23:59:47Z,False,3618.0
9503304,GENERAL SKOBELEV,RUS,273335920,REGISTRY,2021-09-14 09:41:31+00:00,2026-06-30T23:51:49Z,False,
9612909,ALEKSANDR SHEMAGIN,RUS,273352260,REGISTRY,2012-09-02 13:11:33+00:00,2026-05-28T13:59:37Z,False,
9621596,BORABORA,MLT,249443000,REGISTRY,2016-02-26 07:47:14+00:00,2024-02-19T03:57:31Z,True,
9621596,STANISLAV GOVORUKHIN,RUS,273258520,NO_MATCH,2024-02-19 06:19:40+00:00,2026-08-15T19:59:40Z,False,2914.0
9640580,CONSTRUCTOR ZHIVOTOVSKY,RUS,273351180,REGISTRY,2013-05-06 18:20:44+00:00,2024-07-25T16:40:08Z,False,
9645009,VF TANKER-11,RUS,273357860,REGISTRY,2012-10-15 20:18:32+00:00,2026-05-20T05:54:37Z,False,
9645023,VF TANKER-13,RUS,273359170,REGISTRY,2012-10-15 20:21:43+00:00,2023-07-01T09:07:54Z,False,
9645035,VF TANKER-14,RUS,273350270,REGISTRY,2012-11-16 14:29:48+00:00,2023-07-13T04:09:59Z,False,
9645047,VF TANKER-15,RUS,273353180,REGISTRY,2012-11-18 13:08:36+00:00,2023-04-05T08:31:04Z,False,
9690212,STALINGRAD,RUS,273340640,REGISTRY,2014-05-20 15:06:43+00:00,2026-05-22T17:58:49Z,False,
9735141,HAI CHUAN 23,CHN,413350080,NO_MATCH,2014-12-08 06:18:49+00:00,2014-12-14T07:33:26Z,False,
9735141,MIDVOLGA3,RUS,273374820,REGISTRY,2014-12-18 21:34:55+00:00,2026-06-17T11:28:04Z,True,10.0
9821469,LACHIN,AZE,423488100,REGISTRY,2019-12-07 04:57:13+00:00,2026-06-30T21:27:35Z,False,
9867621,ARISTOFANIS,MHL,538008714,NO_MATCH,2019-12-10 07:14:52+00:00,2024-09-17T03:01:32Z,False,
9867621,KHANKENDI,AZE,423543100,REGISTRY,2024-08-23 07:44:30+00:00,2026-06-30T23:59:19Z,True,1718.0
9884150,SERGEY LVOV,RUS,273295620,NO_MATCH,2021-08-31 10:22:36+00:00,2026-08-15T23:55:27Z,False,
9884150,SERGEY LVOV,RUS,273557764,NO_MATCH,2025-08-03 01:21:41+00:00,2025-08-11T12:19:00Z,False,1432.0
